,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10
23,0.22962577705299758,0.26857184199896716,0.18837328840262327,0.26008869950574887,0.24488494968202898,0.1936564845566719,0.3190154898816537,0.21750444859750254,0.22378139197869587,0.2450045508063137,0.18792032183757632
24,0.23216558390449557,0.2713820679233608,0.19030252147549145,0.26140723083622686,0.246693010787346,0.19571481845076014,0.32074521364869957,0.21855045836789339,0.2253527113145679,0.24676417544031787,0.18980175918430056
25,0.23439235196725478,0.2738248705842968,0.19196187822079933,0.2626104477970544,0.24831798134474906,0.19755266234351357,0.3220802496902618,0.21942681130891314,0.22675462027414575,0.24828166788348693,0.19163808506166854
26,0.23642101642104607,0.27617950110861705,0.1937182005332929,0.2637041299663802,0.24996452836072938,0.19936581439157725,0.3232524964256543,0.22017099578869118,0.22801793546697946,0.24973273978673238,0.19322460216659426
27,0.23817975016249077,0.2782196715384096,0.19513390364370303,0.26457280753205215,0.25143921044552575,0.2009920291643275,0.324184477522226,0.22091118153594402,0.22917758982155326,0.25097310204168993,0.19477816043514437
28,0.23986753871608374,0.2801775249865156,0.19670145816334814,0.26546853669576653,0.25289175392434843,0.20256057942821679,0.32506869030706753,0.22155166542311508,0.2302478624675556,0.25224877854442057,0.19606884190394847
29,0.2412227578001211,0.2818572290236437,0.19794734176232015,0.2662294738739936,0.2541272396531284,0.20383993380164886,0.32584975296572666,0.22210107377715674,0.2311853033009224,0.2533858570582524,0.19733405194218184
30,0.24257448825818545,0.283529810575341,0.19920165326175673,0.2671163977671804,0.25525887422847976,0.20508883004762485,0.32660079423895827,0.22263514137001317,0.23213251225819745,0.2546468731856625,0.1983954497788776
31,0.24366357198067237,0.28499885264945257,0.20013803968797125,0.26793593133073973,0.2560492248160077,0.20603209204957304,0.32728465774465626,0.22304824360140663,0.23290888742282762,0.2557138638088397,0.19943545369640636
32,0.24470665341243272,0.2865161794694683,0.20118850242717934,0.26883998585537017,0.2568030439762434,0.20698988551556208,0.3278554098998107,0.2234552180740281,0.23369537774490554,0.25690961990930317,0.20029142787565682
33,0.24557302777607873,0.28784873556670404,0.2019937437350372,0.26972007389719727,0.25733632250626853,0.20764758134049538,0.3283172469185702,0.2238067591675275,0.23434712963647672,0.25796311722209775,0.20121678370961202
34,0.24645319200013815,0.2892210091535846,0.20299495306694954,0.2705426634487029,0.25803474282757805,0.20855552982613457,0.3285800956100781,0.22409902166002743,0.23503512243760555,0.25910136763297026,0.20204272874317084
35,0.24719723781522093,0.2904179829231375,0.2038220013567005,0.2712509521452626,0.2585426294992998,0.20923168680841447,0.3288255720225097,0.22432209166056577,0.23558060643048845,0.2600810430543072,0.20294085919593363
36,0.24795077678980412,0.2916203825265476,0.20488416372053744,0.27197618447597094,0.25916467342863114,0.21009501779319725,0.3290415320385423,0.22454788180387503,0.2361720650336731,0.2611759927896139,0.20367395180213532
37,0.24854961417032734,0.29264646215106177,0.2056501538907294,0.2724984861574741,0.2596034537162712,0.2106809352386052,0.3292305454795923,0.22466191790587844,0.2367519199412759,0.26198828417710346,0.20447406956410522
38,0.2491350750377584,0.2936618941695573,0.20664501711105218,0.2730581922751123,0.2600449551519287,0.21142402214443495,0.3293623641025239,0.22475962149083673,0.23722143783379385,0.2628349237305917,0.2051074442382783
39,0.24963022056762163,0.2946601002657766,0.20748193905328824,0.2738109749219533,0.2603678262363315,0.21198485521364932,0.32962745375026825,0.22480301708507708,0.23750096847986685,0.26344748337004337,0.20573270076794303
40,0.25013690759010526,0.2955160694984304,0.20830346226535318,0.27434308467783364,0.2607283778722887,0.21252286496327052,0.3298483631423302,0.22492233612829318,0.2378499397571233,0.2642022952508944,0.20628812420817252
41,0.25058345361018425,0.29634017905801074,0.2091091763461718,0.2751875956368257,0.2610134647210063,0.2130329690514362,0.3299983682397681,0.2250028884621179,0.23813968242231504,0.2649518602663566,0.20683875958230208
