,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10,zone_11
32,0.32357086590669826,0.33539925683628513,0.3893066095049079,0.235309987930904,0.3535104610528919,0.18527753778957018,0.343125553367361,0.5305274746795773,0.3873164831130873,0.17939308837128823,0.24848445332033478,0.17943443622226693
33,0.3254002624739172,0.33621978269183445,0.3922537013878078,0.23908602355505018,0.356248924388246,0.18883162703232143,0.34581423337335254,0.5340492301270211,0.3897864863136879,0.18314899522055741,0.2512862308746433,0.1825305722898219
34,0.32712210652308416,0.3369894967338156,0.39494682047154794,0.24272055352914387,0.3587681862530205,0.19231941914736977,0.3482957976040429,0.5373582718863565,0.3922799783146846,0.18683436433556164,0.25380410637515494,0.18555357054544708
35,0.32874311590802285,0.3377096853143455,0.3974612475286437,0.24621783151813392,0.36108840151831945,0.19576205983486808,0.3506891144124669,0.5404836154425695,0.3947892435311004,0.19045163885178318,0.2561843006812128,0.18850991490234356
36,0.3302322083108949,0.33840757141728234,0.39979696245657764,0.2496208449529337,0.3632580725851661,0.19915451987539035,0.3529854064478895,0.5433731139577532,0.39718917202917126,0.1939873986060105,0.25840367942823417,0.19139072169401056
37,0.33156677220378095,0.3396299168516644,0.4020060623359668,0.25291229169531915,0.36530270711202095,0.2024835116394089,0.3551712518175481,0.5460428423096785,0.3993768816062793,0.1974371468049027,0.2604923175605155,0.1941991219712136
38,0.33282124917810896,0.34091068626303883,0.4040426219181926,0.25612653700535637,0.36728196920439715,0.20575628633272983,0.35723444218605865,0.5483979029423723,0.4010818089339127,0.20082439151109854,0.26247919204427933,0.1969404403662434
39,0.33397635930347297,0.34157427784844063,0.40591631811789514,0.2592372137247209,0.3689906839374703,0.20899612205846288,0.3591896587411332,0.550531519660391,0.4025527190418238,0.20413944940290435,0.26439927159415805,0.1996145644009313
40,0.33507696341564375,0.3422420723412046,0.40764682382207257,0.2622512545912775,0.37060954076664976,0.21217288835508094,0.36105494600714894,0.5525296608263888,0.40397534232947047,0.20738662683831974,0.2662531264240097,0.2022276851350593
41,0.33610613701984965,0.34272897843313616,0.40926104941723895,0.26514819401157946,0.3720558065574414,0.21526502749100382,0.36283720924712565,0.5543875150593972,0.40533455811461105,0.21055737877975061,0.2680227291041707,0.2047777928375259
